,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Steven Adams,C,26,OKC,58,58,27.0,4.5,7.6,.591,0.0,0.1,.333,4.5,7.6,.593,.593,1.9,3.2,.590,3.4,6.0,9.4,2.4,0.9,1.1,1.5,1.9,10.9
2,Bam Adebayo,PF,22,MIA,65,65,34.4,6.3,11.1,.567,0.0,0.2,.077,6.3,10.9,.576,.568,3.6,5.3,.690,2.5,8.0,10.5,5.1,1.2,1.3,2.8,2.5,16.2
3,LaMarcus Aldridge,C,34,SAS,53,53,33.1,7.4,15.0,.493,1.2,3.0,.389,6.2,12.0,.519,.532,3.0,3.6,.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9
4,Nickeil Alexander-Walker,SG,21,NOP,41,0,12.2,1.9,5.5,.339,1.0,2.9,.342,0.9,2.7,.336,.427,0.4,0.7,.607,0.2,1.8,2.0,1.8,0.3,0.2,1.0,1.1,5.1
5,Grayson Allen,SG,24,MEM,30,0,16.6,2.6,5.9,.449,1.1,3.0,.363,1.5,2.8,.541,.543,1.0,1.2,.857,0.2,2.0,2.2,1.4,0.2,0.0,0.8,1.2,7.4
6,Jarrett Allen,C,21,BRK,64,58,25.7,4.2,6.5,.646,0.0,0.1,.000,4.2,6.4,.654,.646,2.3,3.7,.620,3.0,6.4,9.5,1.3,0.6,1.3,1.1,2.3,10.6
7,Kadeem Allen,SG,27,NYK,10,0,11.7,1.9,4.4,.432,0.5,1.6,.313,1.4,2.8,.500,.489,0.7,1.1,.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0
8,Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
9,Justin Anderson,SF,26,BRK,3,0,5.7,0.3,2.0,.167,0.0,1.0,.000,0.3,1.0,.333,.167,0.3,0.7,.500,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.7,1.0
10,Kyle Anderson,PF,26,MEM,59,20,19.3,2.3,4.7,.493,0.3,1.1,.258,2.1,3.7,.560,.521,0.7,1.1,.652,0.9,3.4,4.4,2.2,0.8,0.5,0.9,1.4,5.7
11,Ryan Anderson,PF,31,HOU,2,0,7.0,1.0,3.5,.286,0.5,2.5,.200,0.5,1.0,.500,.357,0.0,0.0,,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5,2.5
12,Giannis Antetokounmpo,PF,25,MIL,57,57,30.9,10.9,20.0,.547,1.5,4.8,.306,9.5,15.2,.622,.583,6.3,10.0,.633,2.3,11.5,13.7,5.8,1.0,1.0,3.7,3.0,29.6
13,Kostas Antetokounmpo,PF,22,LAL,3,0,1.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
14,Thanasis Antetokounmpo,SF,27,MIL,18,2,5.2,1.1,2.0,.528,0.0,0.4,.000,1.1,1.6,.655,.528,0.4,0.8,.467,0.6,0.4,1.1,0.5,0.3,0.1,0.6,0.7,2.5
15,Carmelo Anthony,PF,35,POR,50,50,32.5,5.8,13.6,.426,1.4,3.9,.371,4.3,9.7,.447,.479,2.3,2.7,.843,1.2,5.0,6.3,1.6,0.8,0.5,1.7,2.8,15.3
16,OG Anunoby,SF,22,TOR,63,62,30.1,4.2,8.4,.507,1.3,3.4,.381,2.9,5.0,.593,.584,0.9,1.4,.686,1.2,4.2,5.4,1.6,1.4,0.7,1.2,2.5,10.7
17,Ryan Arcidiacono,PG,25,CHI,58,4,16.0,1.6,3.8,.409,0.9,2.4,.391,0.6,1.4,.439,.532,0.5,0.7,.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5
18,Trevor Ariza,SF,34,TOT,53,21,28.2,2.7,6.1,.438,1.5,3.9,.372,1.2,2.2,.556,.557,1.2,1.4,.838,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1,8.0
19,Trevor Ariza,SF,34,SAC,32,0,24.7,2.0,5.2,.388,1.3,3.8,.352,0.7,1.3,.488,.518,0.7,0.8,.778,0.7,3.9,4.6,1.6,1.1,0.2,0.9,2.0,6.0
20,Trevor Ariza,SF,34,POR,21,21,33.4,3.7,7.6,.491,1.6,4.0,.400,2.1,3.5,.595,.597,2.0,2.2,.872,0.6,4.1,4.8,2.0,1.6,0.4,1.3,2.3,11.0
21,D.J. Augustin,PG,32,ORL,49,6,24.8,3.2,8.1,.393,1.2,3.6,.345,2.0,4.6,.430,.469,2.8,3.2,.885,0.4,1.9,2.2,4.6,0.6,0.0,1.4,1.1,10.4
22,Deandre Ayton,C,21,PHO,30,25,33.2,8.5,15.5,.548,0.0,0.1,.000,8.5,15.4,.552,.548,2.0,2.6,.769,4.1,7.9,12.0,1.9,0.7,1.7,2.4,3.2,19.0
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Dwayne Bacon,SG,24,CHO,39,11,17.6,2.2,6.3,.348,0.5,1.7,.284,1.7,4.5,.373,.387,0.9,1.4,.660,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7
